t/g,0,10,20,30,40,50,60,70,80,90,100
0,0,20,40,60,80,100,120,140,160,180,200
10,10,30,50,70,90,110,130,150,170,190,210
20,20,40,60,80,100,120,140,160,180,200,220
30,30,50,70,90,110,130,150,170,190,210,230
40,40,60,80,100,120,140,160,180,200,220,240
50,50,70,90,110,130,150,170,190,210,230,250
60,60,80,100,120,140,160,180,200,220,240,260
70,70,90,110,130,150,170,190,210,230,250,270
80,80,100,120,140,160,180,200,220,240,260,280
90,90,110,130,150,170,190,210,230,250,270,290
100,100,120,140,160,180,200,220,240,260,280,300
110,110,130,150,170,190,210,230,250,270,290,310
120,120,140,160,180,200,220,240,260,280,300,320
130,130,150,170,190,210,230,250,270,290,310,330
140,140,160,180,200,220,240,260,280,300,320,340
150,150,170,190,210,230,250,270,290,310,330,350
160,160,180,200,220,240,260,280,300,320,340,360
170,170,190,210,230,250,270,290,310,330,350,370
180,180,200,220,240,260,280,300,320,340,360,380
190,190,210,230,250,270,290,310,330,350,370,390
200,200,220,240,260,280,300,320,340,360,380,400
210,210,230,250,270,290,310,330,350,370,390,410
220,220,240,260,280,300,320,340,360,380,400,420
230,230,250,270,290,310,330,350,370,390,410,430
240,240,260,280,300,320,340,360,380,400,420,440
250,250,270,290,310,330,350,370,390,410,430,450
260,260,280,300,320,340,360,380,400,420,440,460
270,270,290,310,330,350,370,390,410,430,450,470
280,280,300,320,340,360,380,400,420,440,460,480
290,290,310,330,350,370,390,410,430,450,470,490
300,300,320,340,360,380,400,420,440,460,480,500
310,310,330,350,370,390,410,430,450,470,490,510
320,320,340,360,380,400,420,440,460,480,500,520
