 0 10 20 30 40 50 60 70 80 90 100
0 0	10 20 30 41 53 64 75	88	99	110
10 8	21	32	45	56	63	72	80	93	115	130
20 17	31	43	56	71	82	90	102	115	132	147
30 28	43	58	71	82	91	102	115	132	147	158
40 38	52	71	82	91	102	115	132	147	158	170
50 46	71	83	91	102	115	132	147	158	170	185
60 57	76	90	102	114	128	147	158	170	183	198
70 67	82	102	114	128	147	158	170	183	198	211
80 78	102	114	128	147	158	170	183	198	211	223
90 88	114	128	147	158	170	183	198	211	223	237
100 114	128	147	158	170	183	198	211	223	237	250
310 308	318	V	V	V	V	V	V	V	V	V
320 319	322	V	V	V	V	V	V	V	V	V
